82	17.85		415000		6.48e-04  9.12e+00  3.04e+02  1.23e+04
46	13.91		235000		6.48e-04  3.34e+00  6.08e+01  1.40e+03
83	18.7		420000		6.48e-04  9.85e+00  3.04e+02  1.25e+04
84	18.31		425000		6.48e-04  1.34e+01  3.20e+02  1.23e+04
47	14.30		240000		6.48e-04  5.18e+00  8.47e+01  2.85e+03
85	18.52		430000		6.48e-04  9.54e+00  2.68e+02  1.26e+04
86	18.78		435000		6.48e-04  9.02e+00  2.51e+02  1.20e+04
48	14.70		245000		6.48e-04  3.20e+00  6.84e+01  3.05e+03
87	19.0		440000		6.48e-04  1.51e+01  3.73e+02  1.26e+04
49	15.6		250000		6.48e-04  3.75e+00  8.29e+01  4.21e+03
88	19.21		445000		6.48e-04  1.23e+01  3.18e+02  1.25e+04
89	19.44		450000		6.48e-04  5.09e+00  1.89e+02  1.26e+04
50	15.44		255000		6.48e-04  2.28e+00  4.68e+01  1.42e+03
90	19.66		455000		6.48e-04  9.51e+00  2.67e+02  1.26e+04
91	19.93		460000		6.48e-04  5.37e+00  2.16e+02  1.19e+04
51	15.86		260000		6.48e-04  2.90e+00  5.43e+01  1.42e+03
92	20.15		465000		6.48e-04  6.47e+00  1.95e+02  1.20e+04
52	16.22		265000		6.48e-04  3.08e+00  6.22e+01  2.11e+03
93	20.37		470000		6.48e-04  5.49e+00  1.92e+02  1.26e+04
94	20.60		475000		6.48e-04  1.27e+01  3.27e+02  1.23e+04
53	16.61		270000		6.48e-04  2.88e+00  5.44e+01  1.40e+03
95	20.82		480000		6.48e-04  1.05e+01  2.86e+02  1.20e+04
96	21.8		485000		6.48e-04  8.87e+00  2.59e+02  1.23e+04
54	17.2		275000		6.48e-04  4.07e+00  7.41e+01  2.80e+03
97	21.30		490000		6.48e-04  1.49e+01  3.84e+02  1.26e+04
55	17.38		280000		6.48e-04  2.38e+00  5.22e+01  1.66e+03
98	21.52		495000		6.48e-04  1.68e+01  3.94e+02  1.23e+04
99	21.73		500000		6.48e-04  6.17e+00  1.88e+02  1.19e+04
56	17.76		285000		6.48e-04  6.70e+00  1.84e+02  1.18e+04
100	21.95		505000		6.48e-04  1.29e+01  3.51e+02  1.25e+04
101	22.22		510000		6.48e-04  1.87e+01  4.06e+02  1.31e+04
57	18.18		290000		6.48e-04  4.83e+00  9.35e+01  4.21e+03
102	22.43		515000		6.48e-04  4.87e+00  1.13e+02  4.30e+03
58	18.52		295000		6.48e-04  2.78e+00  6.13e+01  2.85e+03
103	22.66		520000		6.48e-04  1.21e+01  3.09e+02  1.23e+04
104	22.88		525000		6.48e-04  7.36e+00  2.09e+02  1.23e+04
59	18.89		300000		6.48e-04  7.13e+00  1.86e+02  1.16e+04
105	23.12		530000		6.48e-04  5.56e+00  2.01e+02  1.32e+04
106	23.33		535000		6.48e-04  2.49e+00  8.09e+01  4.27e+03
107	23.53		540000		6.48e-04  7.85e+00  2.47e+02  1.20e+04
108	23.73		545000		6.48e-04  8.78e+00  2.61e+02  1.23e+04
109	23.94		550000		6.48e-04  7.50e+00  2.44e+02  1.17e+04
110	24.15		555000		6.48e-04  1.83e+01  4.48e+02  1.25e+04
111	24.35		560000		6.48e-04  9.58e+00  3.13e+02  1.26e+04
112	24.55		565000		6.48e-04  1.54e+01  3.66e+02  1.26e+04
113	24.74		570000		6.48e-04  7.12e+00  2.12e+02  1.20e+04
114	24.94		575000		6.48e-04  7.46e+00  1.93e+02  1.20e+04
115	25.14		580000		6.48e-04  1.74e+01  3.95e+02  1.26e+04
116	25.34		585000		6.48e-04  1.16e+01  3.09e+02  1.21e+04
117	25.55		590000		6.48e-04  9.46e+00  2.25e+02  1.19e+04
118	25.75		595000		6.48e-04  2.04e+01  4.28e+02  1.26e+04
119	25.97		600000		6.48e-04  6.08e+00  2.00e+02  1.28e+04
120	26.17		605000		6.48e-04  5.60e+00  1.10e+02  2.88e+03
121	26.36		610000		6.48e-04  6.44e+00  1.93e+02  1.17e+04
